,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
1850,73,2023-03-23,7:30p,Home,Cleveland Cavaliers,114,116,39,34,L 5,L,39,81,12,34,0.353,24,27,0.889,9,42,24,7,7,15,21,2023,Brooklyn Nets
1851,74,2023-03-25,8:00p,Away,Miami Heat,129,100,40,34,W 1,W,44,89,18,40,0.45,23,25,0.92,17,45,30,6,6,6,18,2023,Brooklyn Nets
1852,75,2023-03-26,6:00p,Away,Orlando Magic,106,119,40,35,L 1,L,37,91,8,35,0.229,24,28,0.857,15,44,17,7,8,15,20,2023,Brooklyn Nets
1853,76,2023-03-29,7:30p,Home,Houston Rockets,123,114,41,35,W 1,W,44,82,17,35,0.486,18,27,0.667,8,41,33,4,9,12,18,2023,Brooklyn Nets
1854,77,2023-03-31,7:30p,Home,Atlanta Hawks,124,107,42,35,W 2,W,49,88,15,33,0.455,11,13,0.846,9,41,33,9,3,12,17,2023,Brooklyn Nets
1855,78,2023-04-02,3:30p,Home,Utah Jazz,111,110,43,35,W 3,W,38,86,9,32,0.281,26,34,0.765,7,40,25,6,2,8,26,2023,Brooklyn Nets
1856,79,2023-04-04,7:30p,Home,Minnesota Timberwolves,102,107,43,36,L 1,L,39,90,13,35,0.371,11,14,0.786,7,40,21,6,8,9,18,2023,Brooklyn Nets
1857,80,2023-04-05,7:00p,Away,Detroit Pistons,123,108,44,36,W 1,W,45,86,17,43,0.395,16,23,0.696,11,38,36,6,7,11,12,2023,Brooklyn Nets
1858,81,2023-04-07,7:30p,Home,Orlando Magic,101,84,45,36,W 2,W,35,89,9,42,0.214,22,25,0.88,10,45,27,14,3,9,12,2023,Brooklyn Nets
1859,82,2023-04-09,1:00p,Home,Philadelphia 76ers,105,134,45,37,L 1,L,35,83,12,32,0.375,23,28,0.821,10,42,22,6,6,18,22,2023,Brooklyn Nets
1860,1,2022-10-19,7:30p,Home,Chicago Bulls,108,116,0,1,L 1,L,37,80,12,28,0.429,22,28,0.786,8,46,21,6,2,19,24,2023,Miami Heat
1861,2,2022-10-21,7:30p,Home,Boston Celtics,104,111,0,2,L 2,L,42,92,8,26,0.308,12,15,0.8,11,36,23,8,3,9,18,2023,Miami Heat
1862,3,2022-10-22,8:00p,Home,Toronto Raptors,112,109,1,2,W 1,W,38,76,11,30,0.367,25,27,0.926,6,44,28,2,2,15,26,2023,Miami Heat
1863,4,2022-10-24,7:30p,Home,Toronto Raptors,90,98,1,3,L 1,L,29,83,8,34,0.235,24,27,0.889,8,46,19,5,3,12,15,2023,Miami Heat
1864,5,2022-10-26,10:00p,Away,Portland Trail Blazers,119,98,2,3,W 1,W,44,87,15,38,0.395,16,19,0.842,15,46,34,13,2,16,22,2023,Miami Heat
1865,6,2022-10-27,10:00p,Away,Golden State Warriors,110,123,2,4,L 1,L,39,88,14,43,0.326,18,22,0.818,8,31,25,16,5,12,15,2023,Miami Heat
1866,7,2022-10-29,6:00p,Away,Sacramento Kings,113,119,2,5,L 2,L,38,89,11,28,0.393,26,31,0.839,9,34,18,7,3,8,25,2023,Miami Heat
1867,8,2022-11-01,7:30p,Home,Golden State Warriors,116,109,3,5,W 1,W,40,88,16,42,0.381,20,20,1,9,39,32,7,3,15,16,2023,Miami Heat
1868,9,2022-11-02,7:30p,Home,Sacramento Kings,110,107,4,5,W 2,W,44,89,11,34,0.324,11,13,0.846,9,46,27,5,5,11,20,2023,Miami Heat
1869,10,2022-11-04,7:00p,Away,Indiana Pacers,99,101,4,6,L 1,L,31,81,11,39,0.282,26,26,1,8,42,17,10,2,19,22,2023,Miami Heat
1870,11,2022-11-07,8:30p,Home,Portland Trail Blazers,107,110,4,7,L 2,L,40,84,14,39,0.359,13,15,0.867,5,32,28,11,2,10,18,2023,Miami Heat
1871,12,2022-11-10,7:30p,Home,Charlotte Hornets,117,112,5,7,W 1,W,39,90,10,36,0.278,29,36,0.806,8,38,21,9,1,10,25,2023,Miami Heat
1872,13,2022-11-12,8:00p,Home,Charlotte Hornets,132,115,6,7,W 2,W,49,93,16,41,0.39,18,21,0.857,9,46,32,7,5,12,19,2023,Miami Heat
1873,14,2022-11-14,7:30p,Home,Phoenix Suns,113,112,7,7,W 3,W,38,83,15,33,0.455,22,25,0.88,17,42,23,6,4,14,10,2023,Miami Heat
1874,15,2022-11-16,7:30p,Away,Toronto Raptors,104,112,7,8,L 1,L,36,66,13,35,0.371,19,22,0.864,4,23,19,5,4,23,20,2023,Miami Heat
1875,16,2022-11-18,7:00p,Away,Washington Wizards,106,107,7,9,L 2,L,35,98,11,43,0.256,25,32,0.781,10,53,23,6,4,9,15,2023,Miami Heat
1876,17,2022-11-20,7:00p,Away,Cleveland Cavaliers,87,113,7,10,L 3,L,31,80,6,31,0.194,19,22,0.864,11,30,17,6,3,16,16,2023,Miami Heat
1877,18,2022-11-21,8:00p,Away,Minnesota Timberwolves,101,105,7,11,L 4,L,35,90,11,38,0.289,20,30,0.667,12,46,26,9,5,15,20,2023,Miami Heat
1878,19,2022-11-23,7:30p,Home,Washington Wizards,113,105,8,11,W 1,W,39,93,16,41,0.39,19,22,0.864,14,53,20,7,5,12,18,2023,Miami Heat
1879,20,2022-11-25,8:00p,Home,Washington Wizards,110,107,9,11,W 2,W,42,89,7,26,0.269,19,23,0.826,10,47,24,5,5,10,19,2023,Miami Heat
1880,21,2022-11-27,5:00p,Away,Atlanta Hawks,106,98,10,11,W 3,W,40,82,9,33,0.273,17,19,0.895,6,46,28,8,5,12,16,2023,Miami Heat
1881,22,2022-11-30,7:30p,Away,Boston Celtics,121,134,10,12,L 1,L,47,90,18,40,0.45,9,9,1,9,32,25,8,3,15,21,2023,Miami Heat
1882,23,2022-12-02,7:30p,Away,Boston Celtics,120,116,11,12,W 1,W,48,101,11,35,0.314,13,18,0.722,12,50,19,11,3,16,24,2023,Miami Heat
1883,24,2022-12-05,8:00p,Away,Memphis Grizzlies,93,101,11,13,L 1,L,31,79,14,40,0.35,17,22,0.773,9,45,23,7,3,16,11,2023,Miami Heat
1884,25,2022-12-06,7:30p,Home,Detroit Pistons,96,116,11,14,L 2,L,33,77,10,32,0.313,20,26,0.769,7,40,21,7,2,15,20,2023,Miami Heat
1885,26,2022-12-08,7:30p,Home,Los Angeles Clippers,115,110,12,14,W 1,W,46,90,12,32,0.375,11,14,0.786,7,43,24,11,1,8,20,2023,Miami Heat
1886,27,2022-12-10,5:00p,Home,San Antonio Spurs,111,115,12,15,L 1,L,39,81,13,34,0.382,20,28,0.714,5,32,26,5,3,10,22,2023,Miami Heat
1887,28,2022-12-12,7:00p,Away,Indiana Pacers,87,82,13,15,W 1,W,32,83,9,34,0.265,14,18,0.778,9,48,23,7,2,13,17,2023,Miami Heat
1888,29,2022-12-14,8:00p,Away,Oklahoma City Thunder,110,108,14,15,W 2,W,37,86,24,56,0.429,12,15,0.8,7,39,25,9,1,14,21,2023,Miami Heat
1889,30,2022-12-15,8:00p,Away,Houston Rockets,111,108,15,15,W 3,W,39,88,16,47,0.34,17,23,0.739,14,40,21,10,6,14,19,2023,Miami Heat
1890,31,2022-12-17,5:00p,Away,San Antonio Spurs,111,101,16,15,W 4,W,42,82,11,30,0.367,16,23,0.696,8,40,25,14,3,12,27,2023,Miami Heat
1891,32,2022-12-20,7:30p,Home,Chicago Bulls,103,113,16,16,L 1,L,38,81,15,44,0.341,12,17,0.706,9,35,26,9,0,13,16,2023,Miami Heat
1892,33,2022-12-23,8:00p,Home,Indiana Pacers,108,111,16,17,L 2,L,41,95,13,33,0.394,13,14,0.929,13,38,23,7,3,10,13,2023,Miami Heat
1893,34,2022-12-26,7:30p,Home,Minnesota Timberwolves,113,110,17,17,W 1,W,47,102,13,49,0.265,6,8,0.75,13,40,27,9,3,9,17,2023,Miami Heat
1894,35,2022-12-28,7:30p,Home,Los Angeles Lakers,112,98,18,17,W 2,W,44,92,11,35,0.314,13,16,0.813,10,37,20,14,4,5,15,2023,Miami Heat
1895,36,2022-12-30,9:00p,Away,Denver Nuggets,119,124,18,18,L 1,L,39,87,14,35,0.4,27,30,0.9,11,36,21,13,4,14,19,2023,Miami Heat
1896,37,2022-12-31,9:00p,Away,Utah Jazz,126,123,19,18,W 1,W,45,89,13,39,0.333,23,30,0.767,10,37,32,10,1,12,32,2023,Miami Heat
1897,38,2023-01-02,10:30p,Away,Los Angeles Clippers,110,100,20,18,W 2,W,39,85,12,36,0.333,20,24,0.833,12,48,22,7,2,11,23,2023,Miami Heat
1898,39,2023-01-04,10:00p,Away,Los Angeles Lakers,109,112,20,19,L 1,L,43,95,8,29,0.276,15,21,0.714,14,43,24,9,4,13,20,2023,Miami Heat
1899,40,2023-01-06,10:00p,Away,Phoenix Suns,104,96,21,19,W 1,W,33,78,12,38,0.316,26,31,0.839,5,37,19,10,3,12,14,2023,Miami Heat
1900,41,2023-01-08,6:00p,Home,Brooklyn Nets,101,102,21,20,L 1,L,38,92,13,35,0.371,12,17,0.706,16,41,22,8,4,11,17,2023,Miami Heat
1901,42,2023-01-10,7:30p,Home,Oklahoma City Thunder,112,111,22,20,W 1,W,31,79,10,33,0.303,40,40,1,13,41,18,10,4,19,19,2023,Miami Heat
1902,43,2023-01-12,7:30p,Home,Milwaukee Bucks,108,102,23,20,W 2,W,42,95,9,34,0.265,15,16,0.938,18,61,22,8,1,13,8,2023,Miami Heat
1903,44,2023-01-14,1:00p,Home,Milwaukee Bucks,111,95,24,20,W 3,W,45,87,11,22,0.5,10,12,0.833,13,51,17,9,3,11,14,2023,Miami Heat
1904,45,2023-01-16,3:30p,Away,Atlanta Hawks,113,121,24,21,L 1,L,43,89,8,31,0.258,19,20,0.95,12,41,30,10,4,14,22,2023,Miami Heat
1905,46,2023-01-18,8:00p,Away,New Orleans Pelicans,124,98,25,21,W 1,W,50,94,12,35,0.343,12,16,0.75,10,43,37,11,2,9,17,2023,Miami Heat
1906,47,2023-01-20,7:30p,Away,Dallas Mavericks,90,115,25,22,L 1,L,33,69,4,20,0.2,20,27,0.741,5,39,15,3,1,15,22,2023,Miami Heat
1907,48,2023-01-22,3:30p,Home,New Orleans Pelicans,100,96,26,22,W 1,W,35,80,8,34,0.235,22,27,0.815,12,42,17,16,1,21,14,2023,Miami Heat
1908,49,2023-01-24,7:30p,Home,Boston Celtics,98,95,27,22,W 2,W,34,94,12,33,0.364,18,23,0.783,14,51,21,7,2,7,18,2023,Miami Heat
1909,50,2023-01-27,8:00p,Home,Orlando Magic,110,105,28,22,W 3,W,39,85,10,33,0.303,22,26,0.846,5,37,28,9,3,11,19,2023,Miami Heat
1910,51,2023-01-29,1:00p,Away,Charlotte Hornets,117,122,28,23,L 1,L,45,93,10,31,0.323,17,23,0.739,10,36,26,11,0,10,17,2023,Miami Heat
1911,52,2023-01-31,7:00p,Away,Cleveland Cavaliers,100,97,29,23,W 1,W,34,78,14,31,0.452,18,25,0.72,9,45,21,7,3,13,17,2023,Miami Heat
1912,53,2023-02-02,7:30p,Away,New York Knicks,104,106,29,24,L 1,L,39,87,13,36,0.361,13,16,0.813,9,33,24,8,3,10,15,2023,Miami Heat
1913,54,2023-02-04,8:00p,Away,Milwaukee Bucks,115,123,29,25,L 2,L,45,101,8,31,0.258,17,21,0.81,13,44,23,9,2,7,23,2023,Miami Heat
1914,55,2023-02-08,7:30p,Home,Indiana Pacers,116,111,30,25,W 1,W,37,79,6,19,0.316,36,39,0.923,15,48,21,7,3,11,22,2023,Miami Heat
1915,56,2023-02-10,8:00p,Home,Houston Rockets,97,95,31,25,W 2,W,32,77,12,38,0.316,21,22,0.955,6,40,21,11,6,16,23,2023,Miami Heat
1916,57,2023-02-11,7:00p,Away,Orlando Magic,107,103,32,25,W 3,W,37,85,12,39,0.308,21,23,0.913,11,46,24,7,6,19,22,2023,Miami Heat
1917,58,2023-02-13,7:30p,Home,Denver Nuggets,108,112,32,26,L 1,L,39,89,12,35,0.343,18,20,0.9,9,34,25,9,4,8,14,2023,Miami Heat
1918,59,2023-02-15,7:30p,Away,Brooklyn Nets,105,116,32,27,L 2,L,38,83,8,28,0.286,21,29,0.724,12,41,19,4,3,8,18,2023,Miami Heat
1919,60,2023-02-24,7:30p,Away,Milwaukee Bucks,99,128,32,28,L 3,L,36,92,9,40,0.225,18,25,0.72,9,45,21,5,5,10,17,2023,Miami Heat
1920,61,2023-02-25,7:00p,Away,Charlotte Hornets,103,108,32,29,L 4,L,32,80,11,36,0.306,28,34,0.824,7,42,24,7,3,16,25,2023,Miami Heat
1921,62,2023-02-27,7:00p,Away,Philadelphia 76ers,101,99,33,29,W 1,W,35,81,15,37,0.405,16,22,0.727,12,37,21,10,3,12,20,2023,Miami Heat
1922,63,2023-03-01,7:30p,Home,Philadelphia 76ers,96,119,33,30,L 1,L,34,78,7,29,0.241,21,23,0.913,5,33,18,3,2,12,17,2023,Miami Heat
1923,64,2023-03-03,8:00p,Home,New York Knicks,120,122,33,31,L 2,L,39,81,12,25,0.48,30,32,0.938,11,39,23,7,2,12,17,2023,Miami Heat
1924,65,2023-03-04,8:00p,Home,Atlanta Hawks,117,109,34,31,W 1,W,42,83,13,35,0.371,20,23,0.87,12,43,31,5,3,19,19,2023,Miami Heat
1925,66,2023-03-06,7:30p,Home,Atlanta Hawks,130,128,35,31,W 2,W,41,77,16,29,0.552,32,37,0.865,8,32,27,6,4,11,17,2023,Miami Heat
1926,67,2023-03-08,7:30p,Home,Cleveland Cavaliers,100,104,35,32,L 1,L,35,70,8,29,0.276,22,29,0.759,10,37,22,7,4,22,19,2023,Miami Heat
1927,68,2023-03-10,8:00p,Home,Cleveland Cavaliers,119,115,36,32,W 1,W,42,82,14,29,0.483,21,23,0.913,11,46,22,7,4,16,20,2023,Miami Heat
1928,69,2023-03-11,7:00p,Away,Orlando Magic,114,126,36,33,L 1,L,42,94,11,37,0.297,19,20,0.95,5,35,19,8,2,17,17,2023,Miami Heat
1929,70,2023-03-13,7:30p,Home,Utah Jazz,119,115,37,33,W 1,W,37,79,14,34,0.412,31,36,0.861,9,37,20,12,4,13,13,2023,Miami Heat
1930,71,2023-03-15,7:30p,Home,Memphis Grizzlies,138,119,38,33,W 2,W,49,82,13,29,0.448,27,33,0.818,8,41,33,8,5,13,16,2023,Miami Heat
1931,72,2023-03-18,8:00p,Away,Chicago Bulls,99,113,38,34,L 1,L,35,82,10,37,0.27,19,24,0.792,14,39,23,4,2,13,10,2023,Miami Heat
1932,73,2023-03-19,6:00p,Away,Detroit Pistons,112,100,39,34,W 1,W,38,79,13,39,0.333,23,25,0.92,8,42,33,4,4,10,17,2023,Miami Heat
1933,74,2023-03-22,7:30p,Home,New York Knicks,127,120,40,34,W 2,W,45,79,16,28,0.571,21,26,0.808,2,29,28,9,1,10,18,2023,Miami Heat
1934,75,2023-03-25,8:00p,Home,Brooklyn Nets,100,129,40,35,L 1,L,38,80,12,30,0.4,12,14,0.857,8,32,22,5,4,12,19,2023,Miami Heat
1935,76,2023-03-28,7:30p,Away,Toronto Raptors,92,106,40,36,L 2,L,32,80,10,33,0.303,18,19,0.947,12,43,18,6,3,15,10,2023,Miami Heat
1936,77,2023-03-29,7:30p,Away,New York Knicks,92,101,40,37,L 3,L,35,79,13,39,0.333,9,14,0.643,6,35,20,5,0,11,18,2023,Miami Heat
1937,78,2023-04-01,7:30p,Home,Dallas Mavericks,129,122,41,37,W 1,W,45,86,13,37,0.351,26,29,0.897,10,36,27,6,0,8,16,2023,Miami Heat
1938,79,2023-04-04,7:00p,Away,Detroit Pistons,118,105,42,37,W 2,W,41,80,13,36,0.361,23,26,0.885,5,33,26,12,2,7,18,2023,Miami Heat
1939,80,2023-04-06,7:30p,Away,Philadelphia 76ers,129,101,43,37,W 3,W,49,88,18,39,0.462,13,15,0.867,10,42,39,3,0,10,13,2023,Miami Heat
1940,81,2023-04-07,7:00p,Away,Washington Wizards,108,114,43,38,L 1,L,43,98,15,47,0.319,7,12,0.583,14,47,26,7,4,16,29,2023,Miami Heat
1941,82,2023-04-09,1:00p,Home,Orlando Magic,123,110,44,38,W 1,W,45,83,18,44,0.409,15,20,0.75,7,44,30,10,3,18,20,2023,Miami Heat
1942,1,2022-10-19,7:30p,Home,Houston Rockets,117,107,1,0,W 1,W,45,90,7,25,0.28,20,24,0.833,4,38,30,12,5,9,18,2023,Atlanta Hawks
1943,2,2022-10-21,7:30p,Home,Orlando Magic,108,98,2,0,W 2,W,40,89,13,31,0.419,15,16,0.938,9,46,26,10,2,17,22,2023,Atlanta Hawks
1944,3,2022-10-23,5:00p,Home,Charlotte Hornets,109,126,2,1,L 1,L,39,95,8,35,0.229,23,28,0.821,16,45,23,8,9,12,21,2023,Atlanta Hawks
1945,4,2022-10-26,7:00p,Away,Detroit Pistons,118,113,3,1,W 1,W,45,91,8,22,0.364,20,25,0.8,10,46,22,6,12,12,20,2023,Atlanta Hawks
1946,5,2022-10-28,7:00p,Away,Detroit Pistons,136,112,4,1,W 2,W,55,97,12,29,0.414,14,18,0.778,10,45,31,5,8,6,26,2023,Atlanta Hawks
1947,6,2022-10-29,8:00p,Away,Milwaukee Bucks,115,123,4,2,L 1,L,45,94,13,29,0.448,12,15,0.8,12,42,19,5,2,12,23,2023,Atlanta Hawks
1948,7,2022-10-31,7:30p,Away,Toronto Raptors,109,139,4,3,L 2,L,39,84,11,29,0.379,20,25,0.8,7,37,28,1,4,18,27,2023,Atlanta Hawks
1949,8,2022-11-02,7:30p,Away,New York Knicks,112,99,5,3,W 1,W,44,107,12,34,0.353,12,16,0.75,17,51,28,11,4,7,18,2023,Atlanta Hawks
1950,9,2022-11-05,7:30p,Home,New Orleans Pelicans,124,121,6,3,W 2,W,47,103,9,36,0.25,21,25,0.84,12,50,28,12,8,13,23,2023,Atlanta Hawks
1951,10,2022-11-07,8:15p,Home,Milwaukee Bucks,117,98,7,3,W 3,W,46,99,11,29,0.379,14,17,0.824,12,48,23,11,3,12,18,2023,Atlanta Hawks
1952,11,2022-11-09,7:30p,Home,Utah Jazz,119,125,7,4,L 1,L,51,109,8,28,0.286,9,11,0.818,17,54,24,5,5,11,16,2023,Atlanta Hawks
1953,12,2022-11-10,7:30p,Home,Philadelphia 76ers,104,95,8,4,W 1,W,39,88,6,26,0.231,20,23,0.87,11,54,19,8,2,18,22,2023,Atlanta Hawks
1954,13,2022-11-12,7:30p,Away,Philadelphia 76ers,109,121,8,5,L 1,L,40,89,6,24,0.25,23,27,0.852,12,43,20,4,2,18,19,2023,Atlanta Hawks
1955,14,2022-11-14,8:00p,Away,Milwaukee Bucks,121,106,9,5,W 1,W,44,92,7,20,0.35,26,30,0.867,13,45,23,4,4,9,23,2023,Atlanta Hawks
1956,15,2022-11-16,7:30p,Home,Boston Celtics,101,126,9,6,L 1,L,42,101,7,32,0.219,10,13,0.769,14,45,21,5,5,9,11,2023,Atlanta Hawks
1957,16,2022-11-19,6:00p,Home,Toronto Raptors,124,122,10,6,W 1,W,46,92,7,25,0.28,25,32,0.781,11,50,23,5,5,14,20,2023,Atlanta Hawks
1958,17,2022-11-21,7:00p,Away,Cleveland Cavaliers,102,114,10,7,L 1,L,38,87,11,34,0.324,15,17,0.882,10,35,24,11,3,16,21,2023,Atlanta Hawks
1959,18,2022-11-23,7:30p,Home,Sacramento Kings,115,106,11,7,W 1,W,41,92,11,30,0.367,22,23,0.957,10,47,23,9,6,13,20,2023,Atlanta Hawks
1960,19,2022-11-25,8:00p,Away,Houston Rockets,122,128,11,8,L 1,L,39,82,15,39,0.385,29,36,0.806,6,28,14,9,6,13,26,2023,Atlanta Hawks
1961,20,2022-11-27,5:00p,Home,Miami Heat,98,106,11,9,L 2,L,35,88,10,36,0.278,18,19,0.947,8,42,24,6,3,9,12,2023,Atlanta Hawks
1962,21,2022-11-28,7:00p,Away,Philadelphia 76ers,101,104,11,10,L 3,L,37,74,12,27,0.444,15,22,0.682,8,42,26,7,6,19,21,2023,Atlanta Hawks
1963,22,2022-11-30,7:00p,Away,Orlando Magic,125,108,12,10,W 1,W,51,94,8,32,0.25,15,19,0.789,14,49,25,8,3,12,17,2023,Atlanta Hawks
1964,23,2022-12-02,7:30p,Home,Denver Nuggets,117,109,13,10,W 2,W,49,88,10,28,0.357,9,14,0.643,12,43,24,7,3,12,14,2023,Atlanta Hawks
1965,24,2022-12-05,7:30p,Home,Oklahoma City Thunder,114,121,13,11,L 1,L,44,102,13,38,0.342,13,17,0.765,17,54,24,7,4,18,24,2023,Atlanta Hawks
1966,25,2022-12-07,7:30p,Away,New York Knicks,89,113,13,12,L 2,L,32,85,6,36,0.167,19,24,0.792,11,39,16,4,6,11,17,2023,Atlanta Hawks
1967,26,2022-12-09,7:30p,Away,Brooklyn Nets,116,120,13,13,L 3,L,46,93,10,29,0.345,14,16,0.875,12,38,21,12,4,18,18,2023,Atlanta Hawks
1968,27,2022-12-11,6:30p,Home,Chicago Bulls,123,122,14,13,W 1,W,47,98,13,39,0.333,16,21,0.762,8,45,28,3,6,14,22,2023,Atlanta Hawks
1969,28,2022-12-12,8:00p,Away,Memphis Grizzlies,103,128,14,14,L 1,L,37,104,12,37,0.324,17,22,0.773,20,39,20,13,1,15,17,2023,Atlanta Hawks
1970,29,2022-12-14,7:00p,Away,Orlando Magic,124,135,14,15,L 2,L,44,88,12,35,0.343,24,27,0.889,11,39,30,2,6,13,21,2023,Atlanta Hawks
1971,30,2022-12-16,7:00p,Away,Charlotte Hornets,125,106,15,15,W 1,W,41,75,15,29,0.517,28,34,0.824,4,41,25,3,5,12,22,2023,Atlanta Hawks
1972,31,2022-12-19,7:30p,Home,Orlando Magic,126,125,16,15,W 2,W,48,94,12,32,0.375,18,20,0.9,6,41,29,7,3,10,18,2023,Atlanta Hawks
1973,32,2022-12-21,7:30p,Home,Chicago Bulls,108,110,16,16,L 1,L,39,91,14,37,0.378,16,16,1,9,47,22,6,7,15,15,2023,Atlanta Hawks
1974,33,2022-12-23,7:30p,Home,Detroit Pistons,130,105,17,16,W 1,W,49,92,12,34,0.353,20,24,0.833,8,48,30,10,8,8,20,2023,Atlanta Hawks
1975,34,2022-12-27,7:30p,Away,Indiana Pacers,114,129,17,17,L 1,L,40,89,12,30,0.4,22,29,0.759,9,42,26,4,3,9,19,2023,Atlanta Hawks
1976,35,2022-12-28,7:30p,Home,Brooklyn Nets,107,108,17,18,L 2,L,42,97,8,22,0.364,15,22,0.682,11,47,22,5,6,3,14,2023,Atlanta Hawks
1977,36,2022-12-30,7:30p,Home,Los Angeles Lakers,121,130,17,19,L 3,L,48,101,11,38,0.289,14,20,0.7,12,41,22,6,5,10,19,2023,Atlanta Hawks
1978,37,2023-01-02,10:00p,Away,Golden State Warriors,141,143,17,20,L 4,L,53,109,11,35,0.314,24,29,0.828,10,53,30,9,10,13,17,2023,Atlanta Hawks
1979,38,2023-01-04,10:00p,Away,Sacramento Kings,120,117,18,20,W 1,W,45,84,10,30,0.333,20,22,0.909,7,44,21,9,4,15,21,2023,Atlanta Hawks
1980,39,2023-01-06,10:30p,Away,Los Angeles Lakers,114,130,18,21,L 1,L,44,96,9,31,0.29,17,22,0.773,7,39,24,8,5,12,15,2023,Atlanta Hawks
1981,40,2023-01-08,9:00p,Away,Los Angeles Clippers,112,108,19,21,W 1,W,44,89,8,26,0.308,16,20,0.8,7,43,22,7,9,9,18,2023,Atlanta Hawks
1982,41,2023-01-11,7:30p,Home,Milwaukee Bucks,105,114,19,22,L 1,L,39,87,11,30,0.367,16,18,0.889,6,41,25,5,3,11,12,2023,Atlanta Hawks
1983,42,2023-01-13,7:00p,Away,Indiana Pacers,113,111,20,22,W 1,W,41,94,16,33,0.485,15,21,0.714,14,50,26,6,9,13,22,2023,Atlanta Hawks
1984,43,2023-01-14,7:30p,Away,Toronto Raptors,114,103,21,22,W 2,W,43,84,11,27,0.407,17,18,0.944,5,40,19,6,4,11,22,2023,Atlanta Hawks
1985,44,2023-01-16,3:30p,Home,Miami Heat,121,113,22,22,W 3,W,45,76,13,27,0.481,18,22,0.818,2,28,27,9,5,16,17,2023,Atlanta Hawks
1986,45,2023-01-18,7:30p,Away,Dallas Mavericks,130,122,23,22,W 4,W,49,86,13,26,0.5,19,20,0.95,7,35,28,7,4,12,23,2023,Atlanta Hawks
1987,46,2023-01-20,7:30p,Home,New York Knicks,139,124,24,22,W 5,W,56,100,13,34,0.382,14,16,0.875,14,39,27,6,4,7,16,2023,Atlanta Hawks
1988,47,2023-01-21,7:30p,Home,Charlotte Hornets,118,122,24,23,L 1,L,45,83,11,25,0.44,17,20,0.85,6,40,24,5,4,16,20,2023,Atlanta Hawks
1989,48,2023-01-23,8:00p,Away,Chicago Bulls,100,111,24,24,L 2,L,39,85,10,33,0.303,12,19,0.632,9,43,24,6,4,18,14,2023,Atlanta Hawks
1990,49,2023-01-25,8:00p,Away,Oklahoma City Thunder,137,132,25,24,W 1,W,50,84,11,29,0.379,26,33,0.788,11,46,26,5,6,16,16,2023,Atlanta Hawks
1991,50,2023-01-28,7:30p,Home,Los Angeles Clippers,113,120,25,25,L 1,L,45,95,7,27,0.259,16,20,0.8,15,47,24,12,2,8,18,2023,Atlanta Hawks
1992,51,2023-01-30,10:00p,Away,Portland Trail Blazers,125,129,25,26,L 2,L,44,94,13,30,0.433,24,30,0.8,17,45,26,5,0,6,21,2023,Atlanta Hawks
1993,52,2023-02-01,10:00p,Away,Phoenix Suns,132,100,26,26,W 1,W,52,91,19,33,0.576,9,11,0.818,6,45,32,6,5,12,24,2023,Atlanta Hawks
1994,53,2023-02-03,9:00p,Away,Utah Jazz,115,108,27,26,W 2,W,44,95,10,37,0.27,17,23,0.739,14,52,28,8,5,9,18,2023,Atlanta Hawks
1995,54,2023-02-04,9:00p,Away,Denver Nuggets,108,128,27,27,L 1,L,44,91,6,20,0.3,14,17,0.824,10,43,26,7,7,15,18,2023,Atlanta Hawks
1996,55,2023-02-07,7:30p,Away,New Orleans Pelicans,107,116,27,28,L 2,L,38,85,12,36,0.333,19,25,0.76,10,41,30,4,6,11,21,2023,Atlanta Hawks
1997,56,2023-02-09,7:30p,Home,Phoenix Suns,116,107,28,28,W 1,W,43,95,10,29,0.345,20,27,0.741,20,59,23,6,4,18,22,2023,Atlanta Hawks
1998,57,2023-02-11,7:30p,Home,San Antonio Spurs,125,106,29,28,W 2,W,50,103,10,26,0.385,15,19,0.789,14,48,29,9,6,10,10,2023,Atlanta Hawks
1999,58,2023-02-13,7:00p,Away,Charlotte Hornets,138,144,29,29,L 1,L,53,108,11,28,0.393,21,21,1,16,42,26,9,4,12,15,2023,Atlanta Hawks
2000,59,2023-02-15,7:30p,Home,New York Knicks,101,122,29,30,L 2,L,40,97,5,26,0.192,16,21,0.762,8,40,25,6,7,4,18,2023,Atlanta Hawks
2001,60,2023-02-24,7:30p,Home,Cleveland Cavaliers,136,119,30,30,W 1,W,50,85,15,28,0.536,21,23,0.913,5,42,28,7,8,14,21,2023,Atlanta Hawks
2002,61,2023-02-26,3:00p,Home,Brooklyn Nets,129,127,31,30,W 2,W,45,90,16,30,0.533,23,28,0.821,13,46,20,7,2,15,18,2023,Atlanta Hawks
2003,62,2023-02-28,7:30p,Home,Washington Wizards,116,119,31,31,L 1,L,43,93,13,35,0.371,17,19,0.895,13,42,21,4,7,9,17,2023,Atlanta Hawks
2004,63,2023-03-03,7:30p,Home,Portland Trail Blazers,129,111,32,31,W 1,W,52,91,12,26,0.462,13,16,0.813,10,43,30,10,5,17,19,2023,Atlanta Hawks
2005,64,2023-03-04,8:00p,Away,Miami Heat,109,117,32,32,L 1,L,37,79,9,30,0.3,26,30,0.867,10,37,22,12,1,16,23,2023,Atlanta Hawks
