,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
50,5,2023-11-03,7:30p,Home,New York Knicks,110,105,3,2,W 1,W,35,82,20,39,0.513,20,28,0.714,7,41,24,6,11,14,16,2024,Milwaukee Bucks
51,6,2023-11-06,7:30p,Away,Brooklyn Nets,129,125,4,2,W 2,W,46,96,16,48,0.333,21,24,0.875,12,48,26,6,2,10,13,2024,Milwaukee Bucks
52,7,2023-11-08,8:00p,Home,Detroit Pistons,120,118,5,2,W 3,W,41,90,11,37,0.297,27,32,0.844,5,36,19,8,7,10,18,2024,Milwaukee Bucks
53,8,2023-11-09,7:00p,Away,Indiana Pacers,124,126,5,3,L 1,L,46,87,9,27,0.333,23,26,0.885,5,41,23,6,5,14,19,2024,Milwaukee Bucks
54,9,2023-11-11,6:00p,Away,Orlando Magic,97,112,5,4,L 2,L,38,77,9,29,0.31,12,25,0.48,5,36,25,9,6,19,24,2024,Milwaukee Bucks
55,10,2023-11-13,8:00p,Home,Chicago Bulls,118,109,6,4,W 1,W,42,89,15,47,0.319,19,27,0.704,13,53,23,3,5,15,23,2024,Milwaukee Bucks
56,11,2023-11-15,7:30p,Away,Toronto Raptors,128,112,7,4,W 2,W,44,85,20,39,0.513,20,21,0.952,9,41,25,8,9,13,25,2024,Milwaukee Bucks
57,12,2023-11-17,7:00p,Away,Charlotte Hornets,130,99,8,4,W 3,W,49,89,22,45,0.489,10,13,0.769,4,49,32,4,7,13,21,2024,Milwaukee Bucks
58,13,2023-11-18,8:00p,Home,Dallas Mavericks,132,125,9,4,W 4,W,49,94,17,45,0.378,17,20,0.85,5,41,29,8,3,6,16,2024,Milwaukee Bucks
59,14,2023-11-20,7:00p,Away,Washington Wizards,142,129,10,4,W 5,W,55,94,11,29,0.379,21,28,0.75,16,55,33,3,6,13,13,2024,Milwaukee Bucks
60,15,2023-11-22,7:30p,Away,Boston Celtics,116,119,10,5,L 1,L,45,101,13,34,0.382,13,17,0.765,13,47,23,9,2,9,19,2024,Milwaukee Bucks
61,16,2023-11-24,8:00p,Home,Washington Wizards,131,128,11,5,W 1,W,48,92,9,31,0.29,26,33,0.788,10,50,28,6,6,9,22,2024,Milwaukee Bucks
62,17,2023-11-26,3:30p,Home,Portland Trail Blazers,108,102,12,5,W 2,W,35,89,14,42,0.333,24,32,0.75,18,52,19,13,11,17,20,2024,Milwaukee Bucks
63,18,2023-11-28,7:30p,Away,Miami Heat,131,124,13,5,W 3,W,47,88,13,35,0.371,24,27,0.889,8,45,26,3,4,9,21,2024,Milwaukee Bucks
64,19,2023-11-30,8:00p,Away,Chicago Bulls,113,120,13,6,L 1,L,44,98,16,48,0.333,9,13,0.692,9,43,28,12,6,20,21,2024,Milwaukee Bucks
